iter	Passed	Remaining
0	139	139738
1	141	70365
2	142	47209
3	142	35604
4	143	28643
5	145	24077
6	146	20829
7	151	18842
8	156	17180
9	157	15547
10	157	14201
11	158	13081
12	159	12128
13	160	11316
14	161	10626
15	162	9998
16	170	9844
17	171	9357
18	172	8905
19	173	8503
20	174	8130
21	175	7792
22	176	7485
23	177	7209
24	178	6969
25	181	6814
26	184	6637
27	185	6424
28	186	6228
29	187	6046
30	187	5872
31	188	5710
32	190	5571
33	191	5437
34	193	5347
35	196	5265
36	199	5188
37	200	5072
38	201	4958
39	202	4850
40	202	4747
41	204	4656
42	205	4570
43	206	4481
44	208	4432
45	210	4358
46	211	4279
47	211	4204
48	212	4130
49	213	4061
50	214	3997
51	215	3937
52	216	3874
53	217	3812
54	218	3756
55	219	3699
56	220	3648
57	221	3599
58	230	3684
59	233	3656
60	239	3688
61	240	3641
62	241	3595
63	242	3549
64	243	3503
65	244	3460
66	245	3419
67	246	3378
68	247	3338
69	248	3300
70	249	3264
71	253	3265
72	255	3247
73	257	3217
74	258	3187
75	259	3160
76	260	3127
77	262	3097
78	263	3072
79	267	3075
80	271	3081
81	272	3055
82	273	3025
83	275	2999
84	276	2974
85	277	2948
86	284	2987
87	286	2968
88	288	2952
89	289	2927
90	290	2903
91	291	2881
92	292	2855
93	298	2878
94	300	2862
95	301	2842
96	302	2818
97	304	2800
98	305	2781
99	306	2760
100	307	2737
101	308	2714
102	312	2723
103	315	2717
104	316	2700
105	317	2680
106	318	2661
107	319	2640
108	320	2619
109	321	2599
110	322	2579
111	322	2560
112	323	2540
113	328	2551
114	330	2542
115	331	2528
116	332	2509
117	333	2492
118	334	2478
119	336	2465
120	337	2448
121	338	2434
122	343	2447
123	346	2446
124	348	2437
125	350	2428
126	351	2414
127	353	2405
128	361	2440
129	363	2429
130	364	2418
131	366	2409
132	367	2395
133	369	2389
134	374	2402
135	379	2412
136	381	2400
137	382	2386
138	383	2373
139	384	2361
140	385	2350
141	387	2342
142	389	2332
143	390	2322
144	391	2310
145	393	2300
146	394	2290
147	398	2292
148	402	2300
149	404	2290
150	405	2278
151	406	2266
152	407	2255
153	408	2245
154	410	2235
155	415	2250
156	417	2239
157	417	2227
158	418	2215
159	419	2204
160	420	2190
161	421	2179
162	421	2166
163	422	2155
164	423	2143
165	424	2132
166	428	2136
167	429	2129
168	431	2120
169	432	2110
170	433	2099
171	434	2089
172	435	2080
173	436	2070
174	437	2061
175	438	2050
176	438	2040
177	439	2029
178	444	2040
179	446	2033
180	447	2025
181	448	2016
182	449	2006
183	450	1997
184	451	1987
185	452	1979
186	453	1970
187	454	1961
188	457	1962
189	460	1961
190	461	1953
